company_id,status,file
ICICIPRULI,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\ICICIPRULI_tearsheet.pdf
INDIGO,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\INDIGO_tearsheet.pdf
INDUSINDBK,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\INDUSINDBK_tearsheet.pdf
INFY,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\INFY_tearsheet.pdf
IOC,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\IOC_tearsheet.pdf
IRCTC,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\IRCTC_tearsheet.pdf
IRFC,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\IRFC_tearsheet.pdf
ITC,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\ITC_tearsheet.pdf
JINDALSTEL,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\JINDALSTEL_tearsheet.pdf
JIOFIN,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\JIOFIN_tearsheet.pdf
JSWENERGY,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\JSWENERGY_tearsheet.pdf
JSWSTEEL,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\JSWSTEEL_tearsheet.pdf
KOTAKBANK,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\KOTAKBANK_tearsheet.pdf
LICI,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\LICI_tearsheet.pdf
LODHA,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\LODHA_tearsheet.pdf
LT,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\LT_tearsheet.pdf
LTIM,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\LTIM_tearsheet.pdf
M&M,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\M&M_tearsheet.pdf
MARUTI,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\MARUTI_tearsheet.pdf
MOTHERSON,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\MOTHERSON_tearsheet.pdf
NAUKRI,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\NAUKRI_tearsheet.pdf
NESTLEIND,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\NESTLEIND_tearsheet.pdf
NHPC,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\NHPC_tearsheet.pdf
NTPC,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\NTPC_tearsheet.pdf
ONGC,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\ONGC_tearsheet.pdf
PFC,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\PFC_tearsheet.pdf
PIDILITIND,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\PIDILITIND_tearsheet.pdf
PNB,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\PNB_tearsheet.pdf
POWERGRID,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\POWERGRID_tearsheet.pdf
RECLTD,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\RECLTD_tearsheet.pdf
RELIANCE,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\RELIANCE_tearsheet.pdf
SBILIFE,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\SBILIFE_tearsheet.pdf
SBIN,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\SBIN_tearsheet.pdf
SHREECEM,SUCCESS,D:\N100 FINANCIAL INTELLIGENCE PLATFORM\reports\tearsheets\SHREECEM_tearsheet.pdf
