company_id,company_name,year,previous_pattern,current_pattern
ABB,,Mar 2014,Reinvestor,Cash Accumulator
ABB,,Mar 2015,Cash Accumulator,Reinvestor
ABB,,Mar 2015,Reinvestor,Growth Funded by Debt
ABB,,Mar 2016,Growth Funded by Debt,Reinvestor
ABB,,Mar 2018,Reinvestor,Mixed
ABB,,Mar 2019,Mixed,Reinvestor
ABB,,Mar 2019,Reinvestor,Mixed
ABB,,Mar 2020,Mixed,Reinvestor
ABB,,Mar 2020,Reinvestor,Mixed
ABB,,Mar 2021,Mixed,Reinvestor
ABB,,Mar 2023,Reinvestor,Mixed
ABB,,Mar 2024,Mixed,Reinvestor
ADANIENSOL,,Mar 2015,Cash Accumulator,Growth Funded by Debt
ADANIENSOL,,Mar 2016,Growth Funded by Debt,Reinvestor
ADANIENSOL,,Mar 2018,Reinvestor,Mixed
ADANIENSOL,,Mar 2021,Mixed,Reinvestor
ADANIENSOL,,Mar 2023,Reinvestor,Mixed
ADANIENSOL,,Mar 2024,Mixed,Reinvestor
ADANIENT,,Mar 2014,Mixed,Reinvestor
ADANIENT,,Mar 2015,Reinvestor,Mixed
ADANIENT,,Mar 2016,Mixed,Reinvestor
ADANIENT,,Mar 2017,Reinvestor,Mixed
ADANIENT,,Mar 2019,Mixed,Liquidating Assets
ADANIENT,,Mar 2020,Liquidating Assets,Reinvestor
ADANIENT,,Mar 2021,Reinvestor,Mixed
ADANIENT,,Mar 2023,Mixed,Reinvestor
ADANIENT,,Mar 2024,Reinvestor,Mixed
ADANIGREEN,,Mar 2023,Mixed,Reinvestor
ADANIGREEN,,Mar 2024,Reinvestor,Mixed
ADANIPORTS,,Mar 2015,Mixed,Reinvestor
ADANIPORTS,,Mar 2016,Reinvestor,Mixed
ADANIPORTS,,Mar 2017,Mixed,Reinvestor
ADANIPORTS,,Mar 2019,Reinvestor,Mixed
ADANIPORTS,,Mar 2020,Mixed,Reinvestor
ADANIPORTS,,Mar 2021,Reinvestor,Mixed
ADANIPORTS,,Mar 2022,Mixed,Reinvestor
ADANIPOWER,,Mar 2015,Mixed,Reinvestor
ADANIPOWER,,Mar 2022,Reinvestor,Liquidating Assets
AGTL,,Mar 2019,Mixed,Liquidating Assets
AGTL,,Mar 2020,Liquidating Assets,Reinvestor
AGTL,,Mar 2021,Reinvestor,Mixed
AGTL,,Mar 2024,Mixed,Reinvestor
AMBUJACEM,,Mar 2023,Reinvestor,Mixed
APOLLOHOSP,,Mar 2014,Mixed,Reinvestor
APOLLOHOSP,,Mar 2015,Reinvestor,Mixed
APOLLOHOSP,,Mar 2018,Mixed,Reinvestor
AXISBANK,,Mar 2015,Mixed,Growth Funded by Debt
AXISBANK,,Mar 2016,Growth Funded by Debt,Distress Signal
AXISBANK,,Mar 2017,Distress Signal,Reinvestor
AXISBANK,,Mar 2018,Reinvestor,Growth Funded by Debt
AXISBANK,,Mar 2019,Growth Funded by Debt,Mixed
AXISBANK,,Mar 2024,Mixed,Growth Funded by Debt
BAJAJ-AUTO,,Mar 2020,Reinvestor,Liquidating Assets
BAJAJ-AUTO,,Mar 2021,Liquidating Assets,Reinvestor
BAJAJ-AUTO,,Mar 2022,Reinvestor,Liquidating Assets
BAJAJ-AUTO,,Mar 2024,Liquidating Assets,Reinvestor
BAJAJFINSV,,Mar 2016,Distress Signal,Growth Funded by Debt
BAJAJFINSV,,Mar 2017,Growth Funded by Debt,Distress Signal
BAJAJFINSV,,Mar 2018,Distress Signal,Growth Funded by Debt
BAJAJFINSV,,Mar 2021,Growth Funded by Debt,Mixed
BAJAJFINSV,,Mar 2022,Mixed,Distress Signal
BAJAJFINSV,,Mar 2023,Distress Signal,Growth Funded by Debt
BAJAJHLDNG,,Mar 2016,Reinvestor,Liquidating Assets
BAJAJHLDNG,,Mar 2017,Liquidating Assets,Pre-Revenue
BAJAJHLDNG,,Mar 2018,Pre-Revenue,Reinvestor
BAJFINANCE,,Mar 2018,Growth Funded by Debt,Distress Signal
BAJFINANCE,,Mar 2019,Distress Signal,Growth Funded by Debt
BAJFINANCE,,Mar 2022,Growth Funded by Debt,Distress Signal
BAJFINANCE,,Mar 2023,Distress Signal,Growth Funded by Debt
BANKBARODA,,Mar 2014,Reinvestor,Mixed
BANKBARODA,,Mar 2015,Mixed,Reinvestor
BANKBARODA,,Mar 2016,Reinvestor,Pre-Revenue
BANKBARODA,,Mar 2017,Pre-Revenue,Reinvestor
BANKBARODA,,Mar 2018,Reinvestor,Growth Funded by Debt
BANKBARODA,,Mar 2020,Growth Funded by Debt,Mixed
BANKBARODA,,Mar 2021,Mixed,Pre-Revenue
BANKBARODA,,Mar 2022,Pre-Revenue,Reinvestor
BANKBARODA,,Mar 2023,Reinvestor,Pre-Revenue
BANKBARODA,,Mar 2024,Pre-Revenue,Growth Funded by Debt
BEL,,Mar 2015,Unknown,Reinvestor
BEL,,Mar 2017,Reinvestor,Unknown
BEL,,Mar 2018,Unknown,Pre-Revenue
BEL,,Mar 2019,Pre-Revenue,Reinvestor
BEL,,Mar 2023,Reinvestor,Liquidating Assets
BEL,,Mar 2024,Liquidating Assets,Reinvestor
BHARTIARTL,,Mar 2014,Reinvestor,Mixed
BHARTIARTL,,Mar 2015,Mixed,Reinvestor
BHARTIARTL,,Mar 2018,Reinvestor,Mixed
BHARTIARTL,,Mar 2021,Mixed,Reinvestor
BHEL,,Mar 2015,Mixed,Liquidating Assets
BHEL,,Mar 2017,Liquidating Assets,Reinvestor
BHEL,,Mar 2018,Reinvestor,Liquidating Assets
BHEL,,Mar 2019,Liquidating Assets,Unknown
BHEL,,Mar 2020,Unknown,Distress Signal
BHEL,,Mar 2021,Distress Signal,Reinvestor
BHEL,,Mar 2023,Reinvestor,Distress Signal
BOSCHLTD,,Mar 2017,Reinvestor,Liquidating Assets
BOSCHLTD,,Mar 2018,Liquidating Assets,Reinvestor
BOSCHLTD,,Mar 2019,Reinvestor,Liquidating Assets
BOSCHLTD,,Mar 2020,Liquidating Assets,Reinvestor
BOSCHLTD,,Mar 2023,Reinvestor,Liquidating Assets
BPCL,,Mar 2017,Reinvestor,Mixed
BPCL,,Mar 2018,Mixed,Reinvestor
BPCL,,Mar 2019,Reinvestor,Mixed
BPCL,,Mar 2021,Mixed,Reinvestor
BRITANNIA,,Mar 2014,Liquidating Assets,Reinvestor
BRITANNIA,,Mar 2020,Reinvestor,Mixed
BRITANNIA,,Mar 2021,Mixed,Liquidating Assets
BRITANNIA,,Mar 2023,Liquidating Assets,Reinvestor
BRITANNIA,,Mar 2024,Reinvestor,Liquidating Assets
CANBK,,Mar 2017,Reinvestor,Mixed
CANBK,,Mar 2018,Mixed,Growth Funded by Debt
CANBK,,Mar 2019,Growth Funded by Debt,Reinvestor
CANBK,,Mar 2020,Reinvestor,Growth Funded by Debt
CANBK,,Mar 2021,Growth Funded by Debt,Mixed
CANBK,,Mar 2023,Mixed,Growth Funded by Debt
CANBK,,Mar 2024,Growth Funded by Debt,Reinvestor
CHOLAFIN,,Mar 2014,Distress Signal,Growth Funded by Debt
CHOLAFIN,,Mar 2022,Growth Funded by Debt,Distress Signal
CHOLAFIN,,Mar 2023,Distress Signal,Growth Funded by Debt
CIPLA,,Mar 2014,Mixed,Reinvestor
CIPLA,,Mar 2015,Reinvestor,Mixed
CIPLA,,Mar 2017,Mixed,Reinvestor
CIPLA,,Mar 2020,Reinvestor,Liquidating Assets
CIPLA,,Mar 2021,Liquidating Assets,Reinvestor
COALINDIA,,Mar 2014,Reinvestor,Liquidating Assets
COALINDIA,,Mar 2018,Liquidating Assets,Reinvestor
COALINDIA,,Mar 2020,Reinvestor,Liquidating Assets
COALINDIA,,Mar 2022,Liquidating Assets,Reinvestor
DABUR,,Mar 2019,Reinvestor,Liquidating Assets
DABUR,,Mar 2020,Liquidating Assets,Reinvestor
DIVISLAB,,Mar 2017,Reinvestor,Mixed
DIVISLAB,,Mar 2018,Mixed,Reinvestor
DIVISLAB,,Mar 2021,Reinvestor,Liquidating Assets
DIVISLAB,,Mar 2022,Liquidating Assets,Reinvestor
DLF,,Mar 2016,Liquidating Assets,Reinvestor
DLF,,Mar 2017,Reinvestor,Distress Signal
DLF,,Mar 2018,Distress Signal,Reinvestor
